,epoch,min_cost,max_cost,mean_cost,std_cost
73,73,2.5390066860310023,5.102875465240605,3.9442890882179054,0.925043387000422
74,74,2.485146649119304,5.0020036748741195,3.8390249908170277,0.8815253619767721
75,75,2.466509871956459,4.92004913047676,3.772205448711708,0.8500335603146942
76,76,2.4637751805232004,4.651996629098249,3.709023035039571,0.82337980713414
77,77,2.4082850341497077,4.4896063764179335,3.634964113359384,0.7933039404435549
78,78,2.3936586800499464,4.39165451807167,3.5249958931026315,0.7425070670987683
79,79,2.343251651441277,4.335507419337498,3.4587170224951276,0.7320831732156373
80,80,2.2620614018505423,4.214316284507481,3.3245713385638243,0.7053780994617883
81,81,2.192878936010305,4.268666228841294,3.256720213224492,0.7031764881158576
82,82,2.0884141941162957,3.983922286773188,3.162381887212424,0.6968931777836788
